English,Tovian,IPA,Roots
december 16,loreayeol, / loreajˈeol / ,dance + wisdom

december 17,lanam, / lˈanam / ,twilight + bloom

december 18,nanalor, / nanˈalor / ,star + plant

december 19,liuswen, / liˈuswen / ,moon + beauty

december 2,dolshanin, / dolʃˈanin / ,death + berry

december 20,lirithun, / lirˈiθun / ,breath + joining

december 21,lhilaglar, / ɬilˈaglar / ,night + tree

december 22,lan, / lˈan / ,twilight + ???

december 23,lanasialeth, / lanasiˈaleθ / ,twilight + food

december 24,lhonrem, / ɬˈonrem / ,day + flower

december 25,nan, / nˈan / ,star + ???

december 26,shotlodrem, / ʃoƛˈodrem / ,flowing + flower

december 27,doraklirith, / doraklˈiriθ / ,blue + breath

december 28,kluloremlan, / klulorˈemlan / ,vine + twilight

december 29,liuskesh, / liˈuskeʃ / ,moon + fire

december 3,???, / ??? / ,???

december 30,lirith, / lˈiriθ / ,breath + ???

december 4,???, / ??? / ,???

december 5,lirithan, / lirˈiθan / ,breath + tool

december 6,shotltom, / ʃˈoƛtom / ,flowing + root

december 7,mloanathan, / mloanˈaθan / ,morning + tool

december 8,dolrem, / dˈolrem / ,death + flower

december 9,lirithaglar, / liriθˈaglar / ,breath + tree

December,lotush, / lˈotuʃ / ,one + cold

demonstrate,led, / lˈed / ,action + showing

denseness,lhul, / ɬˈul / ,_

desert,tlil, / ƛˈil / ,sand + place

discovery,sahyeol, / sahjˈeol / ,make + wisdom

dog,anon, / ˈanon / ,_

doing,lor, / lˈor / ,_

down,thok, / θˈok / ,_

dream,lhen, / ɬˈen / ,_

dusk,munorhan, / munˈorhan / ,last + light

dying,dol, / dˈol / ,_

ear,thek, / θˈek / ,_

earth,men, / mˈen / ,_

east,tal, / tˈal / ,_

eating,leth, / lˈeθ / ,_

eight,ath, / ˈaθ / ,_

eleven,dear, / dˈear / ,_

empty,oren, / ˈoren / ,_

end,par, / pˈar / ,_

eternal,tod, / tˈod / ,_

evening,munorhan, / munˈorhan / ,last + light

evil,yal, / jˈal / ,_

exceeding,ngam, / ŋˈam / ,_

existence,sil, / sˈil / ,_

eye,mril, / mrˈil / ,_

face,tan, / tˈan / ,_

father,pan, / pˈan / ,_

feather,ay, / ˈaj / ,_

February,femush, / fˈemuʃ / ,three + cold

fifteen,lhiam, / ɬˈiam / ,twelve + three

fighting,glor, / glˈor / ,_

final,par, / pˈar / ,_

finger,tom, / tˈom / ,_

fire,kesh, / kˈeʃ / ,_

first,pul, / pˈul / ,ESS + one

five,rem, / rˈem / ,_

flatness,tum, / tˈum / ,_

floor,thok, / θˈok / ,down + foot

flow,shotl, / ʃˈoƛ / ,_

flower,drem, / drˈem / ,_

flowing,shotl, / ʃˈoƛ / ,_

fog,tlurith, / ƛˈuriθ / ,tar + air

food,sialeth, / siˈaleθ / ,INS + eating

foot,shot, / ʃˈot / ,_

forest,lethil, / lˈeθil / ,tree + place

forever,tod, / tˈod / ,_

forty eight,tevi, / tˈevi / ,four + twelve

four,tev, / tˈev / ,_

fourteen,lhialo, / ɬiˈalo / ,twelve + two

front,heth, / hˈeθ / ,_

frost,shush, / ʃˈuʃ / ,_

frown,laon, / lˈaon / ,sad + mouth

fruit,shol, / ʃˈol / ,_

full,doren, / dˈoren / ,not + empty

fur,anad, / ˈanad / ,_

future,hethe, / hˈeθe / ,front + path

gentleness,lheth, / ɬˈeθ / ,_

god of memory,elakorim, / elakˈorim / ,_

goodness,lhum, / ɬˈum / ,_

grabbing,lothr, / lˈoθr / ,_

grain,meloresialeth, / meloresiˈaleθ / ,plant + food

grandfather,nan, / nˈan / ,old + father

grandness,gad, / gˈad / ,_

grasp,lothr, / lˈoθr / ,_

greatness,gad, / gˈad / ,_

green,klat, / klˈat / ,_

greenness,klat, / klˈat / ,_

ground,thok, / θˈok / ,down + foot

hair,amal, / ˈamal / ,_

hand,thang, / θˈaŋ / ,_

happy,mat, / mˈat / ,_

hardness,rum, / rˈum / ,_

harvest,lesh, / lˈeʃ / ,plant + cutting

hat,drunan, / drˈunan / ,head + covering

he,ta, / tˈa / ,_

head,dan, / dˈan / ,_

heat,ag, / ˈag / ,_

height,thul, / θˈul / ,_

hide,anad, / ˈanad / ,_

hiding,dum, / dˈum / ,bbu

hoe,leth, / lˈeθ / ,plant + tool

hollow,oren, / ˈoren / ,_

home,driethil, / driˈeθil / ,person + place

hotness,ag, / ˈag / ,_

house,driethil, / driˈeθil / ,person + place

how,lhan, / ɬˈan / ,_

I,na, / nˈa / ,_

ice,shush, / ʃˈuʃ / ,_

importance,gad, / gˈad / ,_

in (obsolete),tid, / tˈid / ,_

instrument,teshan, / tˈeʃan / ,sound + tool

it (inanimate),lod, / lˈod / ,_

it,lod, / lˈod / ,_

January 20,shush, / ʃˈuʃ / ,ice + ???

January 31,???, / ??? / ,???

January 32,tushuthok, / tuʃˈuθok / ,cold + ground

January 33,mralrem, / mrˈalrem / ,darkness + flower

January 34,shashanin, / ʃaʃˈanin / ,ice + berry

January 35,selshith, / sˈelʃiθ / ,water + sharpness

January 36,kluloreshud, / klulorˈeʃud / ,vine + ice

January 37,liusel, / liˈusel / ,moon + center

January 38,fol, / fˈol / ,sun + sweet

January 39,lhenashanin, / ɬenaʃˈanin / ,spirit + berry

January 40,shaingtlurith, / ʃaiŋƛˈuriθ / ,ice + fog

January 41,nanaingtlun, / nanaˈiŋƛun / ,star + tar

January 42,???, / ??? / ,???

January 43,nanador, / nanˈador / ,star + blue

January 44,shakel, / ʃˈakel / ,ice + branch

January 45,rishwen, / rˈiʃwen / ,kindness + beauty

January 46,thatlun, / θˈaƛun / ,tool + joining

January 47,???, / ??? / ,???

January 48,kluloretush, / klulorˈetuʃ / ,vine + cold

January 49,liumen, / liˈumen / ,moon + earth

January 51,nanaglar, / nanˈaglar / ,star + tree

January 52,lanalor, / lanˈalor / ,twilight + plant

January 53,shalor, / ʃˈalor / ,ice + plant

January 54,kelusialeth, / kelusiˈaleθ / ,branch + food

January 55,mralesh, / mrˈaleʃ / ,darkness + sound

January 56,nanad, / nˈanad / ,star + showing

January 57,liusaglar, / liusˈaglar / ,moon + tree

January 58,mer, / mˈer / ,earth + showing

January 59,varefethr, / varˈefeθr / ,value + speaking

January 60,nanadriethil, / nanadriˈeθil / ,star + home

January,loetush, / loˈetuʃ / ,two + cold

jealousy,lad, / lˈad / ,wickedness + comparison

joining,tlun, / ƛˈun / ,_

July,loethulef, / loeθˈulef / ,two + height + sun

June,lothulef, / loθˈulef / ,one + height + sun

killing,vek, / vˈek / ,_

kindness,rish, / rˈiʃ / ,_

knife,nashith, / nˈaʃiθ / ,small + sharpness + tool

knot,nalor, / nˈalor / ,joining + action

knowledge,lhar, / ɬˈar / ,_

lake,tel, / tˈel / ,_

large,mot, / mˈot / ,_

last,par, / pˈar / ,_

leader,fal, / fˈal / ,_

leaf,thang, / θˈaŋ / ,_

left,hed, / hˈed / ,_

leg,kel, / kˈel / ,_

life,mel, / mˈel / ,_

light,an, / ˈan / ,_

limb,kel, / kˈel / ,_

make,sil, / sˈil / ,_

March,lor, / lˈor / ,one + plant

May,felor, / fˈelor / ,three + plant

me,na, / nˈa / ,_

meat,athir, / ˈaθir / ,tasting + GEN + blood

memory,elom, / ˈelom / ,_

metal,men, / mˈen / ,tool + GEN + rock

mist,tlurinin, / ƛurˈinin / ,fog + small

month,nanin, / nˈanin / ,small + small + cycle

moon,lius, / lˈius / ,_

morning,mloan, / mlˈoan / ,first + light

mother,mar, / mˈar / ,_

mouth,eon, / ˈeon / ,_

movement,kwil, / kwˈil / ,_

moving quickly,sethr, / sˈeθr / ,_

mystery,shim, / ʃˈim / ,_

night,lhil, / ɬˈil / ,_

nighttime,lhil, / ɬˈil / ,_

nine,ki, / kˈi / ,_

non-person hair,anad, / ˈanad / ,_

north,lar, / lˈar / ,_

nose,ven, / vˈen / ,_

not,do, / dˈo / ,_

November,ferlesh, / fˈerleʃ / ,three + harvest

October,loerlesh, / loˈerleʃ / ,two + harvest

old,nan, / nˈan / ,_

one hundred forty four,lhialhi, / ɬiˈaɬi / ,twelve + twelve

one,lo, / lˈo / ,_

opposite,do, / dˈo / ,_

overwhelming,ngam, / ŋˈam / ,_

pain,har, / hˈar / ,_

painting,for, / fˈor / ,showing + action

past,hune, / hˈune / ,behind + path

path,num, / nˈum / ,_

peace,tla, / ƛˈa / ,_

peacefulness,tla, / ƛˈa / ,_

permanent,tod, / tˈod / ,_

person hair,amal, / ˈamal / ,_

person skin,trel, / trˈel / ,_

person,driel, / drˈiel / ,_

place,thil, / θˈil / ,_

plain,til, / tˈil / ,flatness + place

plant,melor, / mˈelor / ,life + action

pondering,nalh, / nˈaɬ / ,_

possession,el, / ˈel / ,_

possibility,sho, / ʃˈo / ,_

present,led, / lˈed / ,action + showing

present,nume, / nˈume / ,path + center

protection,munan, / mˈunan / ,_

proximity,sor, / sˈor / ,_

reaching,kith, / kˈiθ / ,_

rebirth,mloelhan, / mloˈeɬan / ,second + birth

red,lhod, / ɬˈod / ,_

redness,lhod, / ɬˈod / ,_

report,yeolfethr, / jeˈolfeθr / ,truth + speech

right,lhya, / ɬjˈa / ,_

river,shotl, / ʃˈoƛ / ,flow + water

rock,men, / mˈen / ,_

root,tom, / tˈom / ,_

running,sethr, / sˈeθr / ,_

rushing,sethr, / sˈeθr / ,_

sad,lur, / lˈur / ,_

sand,shotl, / ʃˈoƛ / ,flow + ground

scales,anad, / ˈanad / ,_

sea,nor, / nˈor / ,_

season,rith, / rˈiθ / ,air + cycle

second,mloe, / mlˈoe / ,ESS + two

seeing,mril, / mrˈil / ,_

September,lorlesh, / lˈorleʃ / ,one + harvest

seven,pol, / pˈol / ,_

shadow,lan, / lˈan / ,darkness + light

shallows,sul, / sˈul / ,_

sharing,nal, / nˈal / ,joining + possession

sharpness,shith, / ʃˈiθ / ,_

she,ta, / tˈa / ,_

shelter,munan, / mˈunan / ,_

ship,sith, / sˈiθ / ,water + traveling

shortness,sul, / sˈul / ,_

showing,fed, / fˈed / ,_

sight,mril, / mrˈil / ,_

silver,menan, / mˈenan / ,metal + light

six,tem, / tˈem / ,_

sixteen,lhiatev, / ɬiˈatev / ,twelve + four

skin,anad, / ˈanad / ,_

sky,rithil, / rˈiθil / ,air + place

sleep,lheth, / ɬˈeθ / ,_

small,nin, / nˈin / ,_

smell,rithor, / rˈiθor / ,air + action

smile,maon, / mˈaon / ,happy + mouth

smoothness,lheth, / ɬˈeθ / ,_

softness,lheth, / ɬˈeθ / ,_

soul,lhen, / ɬˈen / ,_

sound,tesh, / tˈeʃ / ,_

south,rar, / rˈar / ,_

speaking,fethr, / fˈeθr / ,showing + thought

speech,fethr, / fˈeθr / ,_

speed,tlesh, / ƛˈeʃ / ,_

spirit,lhen, / ɬˈen / ,_

star,nan, / nˈan / ,small + light

starting,lon, / lˈon / ,_

stickiness,ing, / ˈiŋ / ,_

stomach,lor, / lˈor / ,_

stone,men, / mˈen / ,_

stopping,pal, / pˈal / ,_

storm,lirith, / lˈiriθ / ,wind + water

strength,rum, / rˈum / ,_

sun,ef, / ˈef / ,_

sunset,munorhan, / munˈorhan / ,last + light

surpassing,ngam, / ŋˈam / ,_

sweet,hol, / hˈol / ,GEN + fruit

sword,thuv, / θˈuv / ,tool + PUR + killing

tar,tlun, / ƛˈun / ,stickiness + joining

tasting,leth, / lˈeθ / ,_

teaching,lhad, / ɬˈad / ,knowledge + showing

ten,tir, / tˈir / ,_

them (inanimate),lode, / lˈode / ,_

them,ta, / tˈa / ,_

they (plural),te, / tˈe / ,_

thickness,lhul, / ɬˈul / ,_

thing,tiel, / tˈiel / ,_

thinking,nalh, / nˈaɬ / ,_

thirteen,lhial, / ɬˈial / ,twelve + one

thirty six,femlhi, / fˈemɬi / ,three + twelve

thirty,loelhiatem, / loeɬiˈatem / ,twenty four + six

thought,ithr, / ˈiθr / ,_

three,fem, / fˈem / ,_

throwing,ysha, / jʃˈa / ,_

thunder,lirithesh, / lirˈiθeʃ / ,storm + sound

tie,nalor, / nˈalor / ,joining + action

time,ngothr, / ŋˈoθr / ,_

tool,than, / θˈan / ,_

tooth,gang, / gˈaŋ / ,_

top,thul, / θˈul / ,_

town,pel, / pˈel / ,_

trance,lheth, / ɬˈeθ / ,_

traveling,kith, / kˈiθ / ,_

tree,glar, / glˈar / ,_

trunk,adlel, / ˈadlel / ,_

truth,yeol, / jˈeol / ,_

twelve,lhi, / ɬˈi / ,_

twenty five,loelhial, / loeɬˈial / ,twenty four + one

twenty four,loelhi, / loˈeɬi / ,two + twelve

twenty six,loelhialo, / loeɬiˈalo / ,twenty four + two

twenty,lhiath, / ɬˈiaθ / ,twelve + eight

twilight,lan, / lˈan / ,darkness + light

two,loe, / lˈoe / ,_

un-,do, / dˈo / ,_

unknown,shim, / ʃˈim / ,_

up,ther, / θˈer / ,_

us,ne, / nˈe / ,_

value,var, / vˈar / ,_

vessel,lhom, / ɬˈom / ,_

village,pel, / pˈel / ,_

vine,klulor, / klˈulor / ,arm + plant

virtue,lhum, / ɬˈum / ,_

wakefulness,shith, / ʃˈiθ / ,_

waking dreamer,lhen, / ɬˈen / ,walking + dream

walking,nolh, / nˈoɬ / ,_

warmth,ag, / ˈag / ,_

washing,sor, / sˈor / ,water + action

watching,mril, / mrˈil / ,_

water,sel, / sˈel / ,_

we,ne, / nˈe / ,_

week,tirlhom, / tˈirɬom / ,ten + day

weight,tlem, / ƛˈem / ,_

west,fil, / fˈil / ,_

what,lhan, / ɬˈan / ,_

when,lhan, / ɬˈan / ,_

where,lhan, / ɬˈan / ,_

who,lhan, / ɬˈan / ,_

wholeness,om, / ˈom / ,_

why,lhan, / ɬˈan / ,_

wickedness,yal, / jˈal / ,_

width,shad, / ʃˈad / ,_

wind,lirith, / lˈiriθ / ,movement + COM + air

wisdom,yeol, / jˈeol / ,_

wondering,thraf, / θrˈaf / ,_

woods,glar, / glˈar / ,_

writing,for, / fˈor / ,showing + action

year,nin, / nˈin / ,small + cycle

you (plural),we, / wˈe / ,_

you,wa, / wˈa / ,_

young,don, / dˈon / ,not + old

ABL,di-, / dˈi / ,_

ablative case marker,di-, / dˈi / ,_

abstract noun class,le-, / lˈe / ,_

ACC,yu-, / ˈu / ,_

accusative case marker,yu-, / ˈu / ,_

ALL,su-, / sˈu / ,_

allative case marker,su-, / sˈu / ,_

animate noun class,la-, / lˈa / ,_

CAUS,ke-, / kˈe / ,_

causative voice marker,ke-, / kˈe / ,_

COM,yi-, / ˈi / ,_

comlative case marker,yi-, / ˈi / ,_

COND,ko-, / kˈo / ,_

conditional mood marker,ko-, / kˈo / ,_

COUNTER,ks-o, / ˈo / ,_

counterfactual mood marker,ks-o, / ˈo / ,_

DAT,mi-, / mˈi / ,_

dative case marker,mi-, / mˈi / ,_

ESS,pu-, / pˈu / ,_

essive case marker,pu-, / pˈu / ,_

GEN,hi-, / hˈi / ,_

genitive case marker,hi-, / hˈi / ,_

IMP,se-, / sˈe / ,_

imperative mood marker,se-, / sˈe / ,_

inanimate noun class,lo-, / lˈo / ,_

INS,si-, / sˈi / ,_

instrumental case marker,si-, / sˈi / ,_

LOC,ti-, / tˈi / ,_

locative case marker,ti-, / tˈi / ,_

MID,mo-, / mˈo / ,_

middle voice marker,mo-, / mˈo / ,_

NOM,i-, / ˈi / ,_

nomative case marker,i-, / ˈi / ,_

OBL,tl0-, / ƛ0- / ,_

obligative mood marker,tl0-, / ƛ0- / ,_

OPT,lhe-, / ɬˈe / ,_

optative mood marker,lhe-, / ɬˈe / ,_

PASS,pa-, / pˈa / ,_

passive voice marker,pa-, / pˈa / ,_

plural marker,-e, / ˈe / ,_

POT,sho-, / ʃˈo / ,_

potential mood marker,sho-, / ʃˈo / ,_

PUR,lhu-, / ɬˈu / ,_

purpose case marker,lhu-, / ɬˈu / ,_

REC,ra-, / rˈa / ,_

reciprocal voice marker,ra-, / rˈa / ,_

REFL,te-, / tˈe / ,_

reflexive voice marker,te-, / tˈe / ,_

SUB,wi-, / wˈi / ,_

subjunctive mood marker,wi-, / wˈi / ,_

TEMP,tu-, / tˈu / ,_

temporal case marker,tu-, / tˈu / ,_

1 of autumn,keluloresialeth, / keluloresiˈaleθ / ,branch + grain

1 of spring,liusklulor, / liusklˈulor / ,moon + vine

1 of summer,mloanam, / mloˈanam / ,morning + bloom

1 of winter,lirithdrem, / lirˈiθdrem / ,breath + flower

1,lo, / lˈo / ,_

10 of autumn,nanathuv, / nanˈaθuv / ,star + sword

10 of spring,todawen, / todˈawen / ,eternal + beauty

10 of summer,driethilemnan, / drieθilˈemnan / ,home + protection

10 of winter,liriskwil, / lirˈiskwil / ,breath + movement

10,tir, / tˈir / ,_

11 of autumn,???, / ??? / ,???

11 of spring,mralm, / mrˈalm / ,darkness + bloom

11 of summer,thuvglar, / θˈuvglar / ,sword + woods

11 of winter,fedrlad, / fˈedrlad / ,showing + jealousy

11,dear, / dˈear / ,_

12 of autumn,thilethan, / θilˈeθan / ,place + tool

12 of spring,mloelhanalor, / mloeɬanˈalor / ,rebirth + plant

12 of summer,nador, / nˈador / ,light + blue

12 of winter,rithaglar, / riθˈaglar / ,air + tree

12,lhi, / ɬˈi / ,_

13 of autumn,shithan, / ʃˈiθan / ,sharpness + tool

13 of spring,tushudol, / tuʃˈudol / ,cold + fruit

13 of summer,mralsialeth, / mralsiˈaleθ / ,darkness + food

13 of winter,shotlan, / ʃˈoƛan / ,flowing + tool

13,lhial, / ɬˈial / ,twelve + one

14 of autumn,tlurinin, / ƛurˈinin / ,mist + ???

14 of spring,menan, / mˈenan / ,silver + ???

14 of summer,liriskwil, / lirˈiskwil / ,wind + movement

14 of winter,fedetush, / fedˈetuʃ / ,showing + cold

14,lhialo, / ɬiˈalo / ,twelve + two

144,lhialhi, / ɬiˈaɬi / ,twelve + twelve

15 of autumn,???, / ??? / ,???

15 of spring,rithilekel, / riθilˈekel / ,sky + branch

15 of summer,forengothr, / forˈeŋoθr / ,writing + time

15 of winter,lirithen, / lirˈiθen / ,breath + dream

15,lhiam, / ɬˈiam / ,twelve + three

16 of autumn,rithol, / rˈiθol / ,air + sweet

16 of spring,mrawen, / mrˈawen / ,darkness + beauty

16 of summer,semlor, / sˈemlor / ,water + plant

16 of winter,loreayeol, / loreajˈeol / ,dance + wisdom

16,lhiatev, / ɬiˈatev / ,twelve + four

17 of autumn,sholalhum, / ʃolˈaɬum / ,fruit + goodness

17 of spring,tlafor, / ƛˈafor / ,peace + plant

17 of summer,gaglar, / gˈaglar / ,warmth + tree

17 of winter,lanam, / lˈanam / ,twilight + bloom

18 of autumn,sholaglar, / ʃolˈaglar / ,fruit + tree

18 of spring,nanamel, / nanˈamel / ,star + life

18 of summer,mrallhenadrem, / mralɬenˈadrem / ,darkness + dream + flower

18 of winter,nanalor, / nanˈalor / ,star + plant

19 of autumn,lshanin, / lʃˈanin / ,sun + berry

19 of spring,efem, / ˈefem / ,sun + flower

19 of summer,tomomen, / tomˈomen / ,root + earth

19 of winter,liuswen, / liˈuswen / ,moon + beauty

2 of autumn,liusoresialeth, / liusoresiˈaleθ / ,moon + grain

2 of spring,efith, / ˈefiθ / ,sun + sharpness

2 of summer,rithileaglar, / riθileˈaglar / ,sky + tree

2 of winter,dolshanin, / dolʃˈanin / ,death + berry

2,loe, / lˈoe / ,_

20 of autumn,tilethil, / tilˈeθil / ,plain + place

20 of spring,nanashith, / nanˈaʃiθ / ,star + sharpness

20 of summer,holadriethil, / holadriˈeθil / ,sweet + home

20 of winter,lirithun, / lirˈiθun / ,breath + joining

20 of winter,shush, / ʃˈuʃ / ,ice + ???

20,lhiath, / ɬˈiaθ / ,twelve + eight

21 of autumn,riskel, / rˈiskel / ,air + branch

21 of spring,dremlor, / drˈemlor / ,flower + plant

21 of summer,meloremnan, / melorˈemnan / ,plant + protection

21 of winter,lhilaglar, / ɬilˈaglar / ,night + tree

22 of autumn,mraltlun, / mrˈalƛun / ,darkness + joining

22 of spring,rithiledrem, / riθilˈedrem / ,sky + flower

22 of summer,shotlathang, / ʃoƛˈaθaŋ / ,flowing + leaf

22 of winter,lan, / lˈan / ,twilight + ???

23 of autumn,kelushol, / kelˈuʃol / ,branch + fruit

23 of spring,shasith, / ʃˈasiθ / ,ice + ship

23 of summer,melaglar, / melˈaglar / ,life + tree

23 of winter,lanasialeth, / lanasiˈaleθ / ,twilight + food

24 of autumn,mloanamen, / mloanˈamen / ,morning + earth

24 of spring,nanadrem, / nanˈadrem / ,star + flower

24 of summer,tleshor, / ƛˈeʃor / ,speed + plant

24 of winter,lhonrem, / ɬˈonrem / ,day + flower

24,loelhi, / loˈeɬi / ,two + twelve

25 of autumn,???, / ??? / ,???

25 of spring,lirithan, / lirˈiθan / ,storm + animal

25 of summer,rithileay, / riθilˈeaj / ,sky + feather

25 of winter,nan, / nˈan / ,star + ???

25,loelhial, / loeɬˈial / ,twenty four + one

26 of autumn,melorelor, / melorˈelor / ,plant + plant

26 of spring,mramlorelhen, / mramlorˈeɬen / ,darkness + plant + dream

26 of summer,dolithor, / dolˈiθor / ,death + smell

26 of winter,shotlodrem, / ʃoƛˈodrem / ,flowing + flower

26,loelhialo, / loeɬiˈalo / ,twenty four + two

27 of autumn,thullhen, / θˈulɬen / ,top + dream

27 of spring,gadrem, / gˈadrem / ,hotness + flower

27 of summer,lirithdrem, / lirˈiθdrem / ,wind + flower

27 of winter,doraklirith, / doraklˈiriθ / ,blue + breath

28 of autumn,???, / ??? / ,???

28 of spring,lshol, / lʃˈol / ,sun + fruit

28 of summer,ithrem, / ˈiθrem / ,thought + flower

28 of winter,kluloremlan, / klulorˈemlan / ,vine + twilight

29 of autumn,vareloresialeth, / vareloresiˈaleθ / ,value + grain

29 of spring,nanaloresialeth, / nanaloresiˈaleθ / ,star + grain

29 of summer,mralshol, / mrˈalʃol / ,darkness + fruit

29 of winter,liuskesh, / liˈuskeʃ / ,moon + fire

3 of autumn,mralaliusm, / mralalˈiusm / ,darkness + moon + bloom

3 of spring,thanshol, / θˈanʃol / ,tool + fruit

3 of summer,liusan, / liˈusan / ,moon + tool

3 of winter,???, / ??? / ,???

3,fem, / fˈem / ,_

30 of autumn,rithtesh, / rˈiθteʃ / ,air + sound

30 of spring,shimilhom, / ʃimˈiɬom / ,mystery + container

30 of summer,melor, / mˈelor / ,plant + ???

30 of winter,lirith, / lˈiriθ / ,breath + ???

30,loelhiatem, / loeɬiˈatem / ,twenty four + six

31 of autumn,leshol, / lˈeʃol / ,harvest + fruit

31 of spring,rithileshol, / riθilˈeʃol / ,sky + fruit

31 of summer,lhenananaloresialeth, / ɬenananaloresiˈaleθ / ,dream + star + grain

31 of winter,???, / ??? / ,???

32 of autumn,kluloreloresialeth, / kluloreloresiˈaleθ / ,vine + grain

32 of spring,liusith, / liˈusiθ / ,moon + sharpness

32 of summer,yeomlor, / jeˈomlor / ,wisdom + plant

32 of winter,tushuthok, / tuʃˈuθok / ,cold + ground

33 of autumn,???, / ??? / ,???

33 of spring,lirithwen, / lirˈiθwen / ,storm + beauty

33 of summer,llhenashol, / lɬenˈaʃol / ,sun + dream + fruit

33 of winter,mralrem, / mrˈalrem / ,darkness + flower

34 of autumn,lhilaloresialeth, / ɬilaloresiˈaleθ / ,night + grain

34 of spring,dlelaglar, / dlelˈaglar / ,body + tree

34 of summer,melorethanglar, / meloreθˈaŋlar / ,plant + tool + woods

34 of winter,shashanin, / ʃaʃˈanin / ,ice + berry

35 of autumn,shotlan, / ʃˈoƛan / ,river + light

35 of spring,lirithay, / lirˈiθaj / ,storm + feather

