Year,Translation,Roots,POS,Note
6000,89 of summer,sun+death,N,Sunseed
6000,90 of summer,leader+star,N,Shepherd's Star
6000,September,one+harvest,N,Messihold
6000,1 of autumn,branch+grain,N,Starrye
6000,2 of autumn,moon+grain,N,Moonoat
6000,3 of autumn,darkness+moon+bloom,N,Nightbulb
6000,4 of autumn,???,N,Daeronica
6000,5 of autumn,star+earth,N,Starmul
6000,6 of autumn,sun+mother,N,Sunmary
6000,7 of autumn,moon+???,N,Mooncoke
6000,8 of autumn,dusk+stopping,N,Duskshalt
6000,9 of autumn,dream+sharpness,N,Dremthorn
6000,10 of autumn,star+sword,N,Stareblad
6000,11 of autumn,???,N,Ciantro
6000,12 of autumn,place+tool,N,Earchoke
6000,13 of autumn,sharpness+tool,N,Spicesta
6000,14 of autumn,mist+???,N,Mistlaven
6000,15 of autumn,???,N,Chamois
6000,16 of autumn,air+sweet,N,Smokesweet
6000,17 of autumn,fruit+goodness,N,Curranthum
6000,18 of autumn,fruit+tree,N,Peawil
6000,19 of autumn,sun+berry,N,Sunberry
6000,20 of autumn,plain+place,N,Meadowrealm
6000,21 of autumn,air+branch,N,Breezemint
6000,22 of autumn,darkness+joining,N,Nightspice
6000,23 of autumn,branch+fruit,N,Starbean
6000,24 of autumn,morning+earth,N,Dawnborage
6000,25 of autumn,???,N,Skuinea
6000,26 of autumn,plant+plant,N,Hayherb
6000,27 of autumn,top+dream,N,Sarlic
6000,28 of autumn,???,N,Whivetch
6000,29 of autumn,value+grain,N,Goldwheat
6000,30 of autumn,air+sound,N,Windflute
6000,October,two+harvest,N,Fructiwane
6000,31 of autumn,harvest+fruit,N,Starplum
6000,32 of autumn,vine+grain,N,Duskmillet
6000,33 of autumn,???,N,Munpuf
6000,34 of autumn,night+grain,N,Twilbar
6000,35 of autumn,river+light,N,Rivshine
6000,36 of autumn,moon+sharing,N,Tlunalis
6000,37 of autumn,sweet+???,N,Sweetspore
6000,38 of autumn,dream+flower,N,Dremblossom
6000,39 of autumn,darkness+tree,N,Shadroot
6000,40 of autumn,star+tool,N,Starladder
6000,41 of autumn,moon+berry,N,Moonmelon
6000,42 of autumn,branch+darkness,N,Starfennel
6000,43 of autumn,sharpness+sweet,N,Thornsweet
6000,44 of autumn,dusk+fruit,N,Dusknut
6000,45 of autumn,???,N,Stamglith
6000,46 of autumn,sun+action,N,Sunzest
6000,47 of autumn,hoe+covering,N,Melorethangor
6000,48 of autumn,morning+sharpness,N,Dawnthor
6000,49 of autumn,value+tool,N,Golace
6000,50 of autumn,pain+tool,N,Harsack
6000,51 of autumn,forest+flower,N,Wildrose
6000,52 of autumn,dream+moon+fruit,N,Monut
6000,53 of autumn,tool+plant,N,Brewvine
6000,54 of autumn,grain+value,N,Goldgrain
6000,55 of autumn,river+sound,N,Rivercaw
6000,56 of autumn,pain+mouth,N,Bitterpearl
6000,57 of autumn,forest+branch,N,Starblum
6000,58 of autumn,sun+plant,N,Sunstalk
6000,59 of autumn,tree+fruit,N,Hovenut
6000,60 of autumn,harvest+action,N,Harvesh
6000,November,three+harvest,N,Prairilight
6000,61 of autumn,star+food,N,Starfodder
6000,62 of autumn,day+light,N,Dayglem
6000,63 of autumn,pain+plant,N,Harclover
6000,64 of autumn,moon+???,N,Moonerb
6000,65 of autumn,lake+feather,N,Lakequill
6000,66 of autumn,sweet+plant,N,Sweetbalm
6000,67 of autumn,goodness+grain,N,Sugargrain
6000,68 of autumn,death+hotness,N,Twilily
6000,69 of autumn,air+root,N,Windthyme
6000,70 of autumn,darkness+dream+tool,N,Shedscythe
6000,71 of autumn,sharpness+berry,N,Stefbery
6000,72 of autumn,forest+tree,N,Wildroot
6000,73 of autumn,change+thought,N,Kanalh
6000,74 of autumn,existence+goodness,N,Silshede
6000,75 of autumn,morning+bird,N,Dawnquail
6000,76 of autumn,showing+darkness+flower,N,Duflor
6000,77 of autumn,night+flower,N,Niteblum
6000,78 of autumn,dream+branch,N,Dremsweed
6000,79 of autumn,star+leaf,N,Starlef
6000,80 of autumn,light+tool,N,Glemfork
6000,81 of autumn,???,N,Skoble
6000,82 of autumn,???,N,Muncal
6000,83 of autumn,sweet+life,N,Sweevin
6000,84 of autumn,air+flower,N,Frothfloer
6000,85 of autumn,dream+air,N,Depswe
6000,86 of autumn,small+existence,N,Niwhis
6000,87 of autumn,moon+dream,N,Munverbena
6000,88 of autumn,sun+time,N,Sunethime
6000,89 of autumn,pain+flower,N,Harpetal
6000,90 of autumn,grain+plant,N,Sorgho
